00001 001     0 Central Nervous System and Cranial Nerves, Bypass            Central Nervous System and Cranial Nerves, Bypass
17858 05LT4CZ 1 Occlusion R Face Vein w Extralum Dev, Perc Endo              Occlusion of Right Face Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17859 05LT4DZ 1 Occlusion R Face Vein w Intralum Dev, Perc Endo              Occlusion of Right Face Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17860 05LT4ZZ 1 Occlusion of Right Face Vein, Perc Endo Approach             Occlusion of Right Face Vein, Percutaneous Endoscopic Approach
17861 05LV0CZ 1 Occlusion of Left Face Vein with Extralum Dev, Open Approach Occlusion of Left Face Vein with Extraluminal Device, Open Approach
17862 05LV0DZ 1 Occlusion of Left Face Vein with Intralum Dev, Open Approach Occlusion of Left Face Vein with Intraluminal Device, Open Approach
17863 05LV0ZZ 1 Occlusion of Left Face Vein, Open Approach                   Occlusion of Left Face Vein, Open Approach
17864 05LV3CZ 1 Occlusion of Left Face Vein with Extralum Dev, Perc Approach Occlusion of Left Face Vein with Extraluminal Device, Percutaneous Approach
17865 05LV3DZ 1 Occlusion of Left Face Vein with Intralum Dev, Perc Approach Occlusion of Left Face Vein with Intraluminal Device, Percutaneous Approach
17866 05LV3ZZ 1 Occlusion of Left Face Vein, Percutaneous Approach           Occlusion of Left Face Vein, Percutaneous Approach
17867 05LV4CZ 1 Occlusion L Face Vein w Extralum Dev, Perc Endo              Occlusion of Left Face Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17868 05LV4DZ 1 Occlusion L Face Vein w Intralum Dev, Perc Endo              Occlusion of Left Face Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17869 05LV4ZZ 1 Occlusion of Left Face Vein, Perc Endo Approach              Occlusion of Left Face Vein, Percutaneous Endoscopic Approach
17870 05LY0CZ 1 Occlusion of Upper Vein with Extralum Dev, Open Approach     Occlusion of Upper Vein with Extraluminal Device, Open Approach
17871 05LY0DZ 1 Occlusion of Upper Vein with Intralum Dev, Open Approach     Occlusion of Upper Vein with Intraluminal Device, Open Approach
17872 05LY0ZZ 1 Occlusion of Upper Vein, Open Approach                       Occlusion of Upper Vein, Open Approach
17873 05LY3CZ 1 Occlusion of Upper Vein with Extralum Dev, Perc Approach     Occlusion of Upper Vein with Extraluminal Device, Percutaneous Approach
17874 05LY3DZ 1 Occlusion of Upper Vein with Intralum Dev, Perc Approach     Occlusion of Upper Vein with Intraluminal Device, Percutaneous Approach
17875 05LY3ZZ 1 Occlusion of Upper Vein, Percutaneous Approach               Occlusion of Upper Vein, Percutaneous Approach
17876 05LY4CZ 1 Occlusion of Up Vein with Extralum Dev, Perc Endo Approach   Occlusion of Upper Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17877 05LY4DZ 1 Occlusion of Up Vein with Intralum Dev, Perc Endo Approach   Occlusion of Upper Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17878 05LY4ZZ 1 Occlusion of Upper Vein, Percutaneous Endoscopic Approach    Occlusion of Upper Vein, Percutaneous Endoscopic Approach
17879 05N     0 Upper Veins, Release                                         Upper Veins, Release
17880 05N00ZZ 1 Release Azygos Vein, Open Approach                           Release Azygos Vein, Open Approach
17881 05N03ZZ 1 Release Azygos Vein, Percutaneous Approach                   Release Azygos Vein, Percutaneous Approach
17882 05N04ZZ 1 Release Azygos Vein, Percutaneous Endoscopic Approach        Release Azygos Vein, Percutaneous Endoscopic Approach
17883 05N10ZZ 1 Release Hemiazygos Vein, Open Approach                       Release Hemiazygos Vein, Open Approach
17884 05N13ZZ 1 Release Hemiazygos Vein, Percutaneous Approach               Release Hemiazygos Vein, Percutaneous Approach
17885 05N14ZZ 1 Release Hemiazygos Vein, Percutaneous Endoscopic Approach    Release Hemiazygos Vein, Percutaneous Endoscopic Approach
17886 05N30ZZ 1 Release Right Innominate Vein, Open Approach                 Release Right Innominate Vein, Open Approach
17887 05N33ZZ 1 Release Right Innominate Vein, Percutaneous Approach         Release Right Innominate Vein, Percutaneous Approach
17888 05N34ZZ 1 Release Right Innominate Vein, Perc Endo Approach            Release Right Innominate Vein, Percutaneous Endoscopic Approach
17889 05N40ZZ 1 Release Left Innominate Vein, Open Approach                  Release Left Innominate Vein, Open Approach
17890 05N43ZZ 1 Release Left Innominate Vein, Percutaneous Approach          Release Left Innominate Vein, Percutaneous Approach
17891 05N44ZZ 1 Release Left Innominate Vein, Perc Endo Approach             Release Left Innominate Vein, Percutaneous Endoscopic Approach
17892 05N50ZZ 1 Release Right Subclavian Vein, Open Approach                 Release Right Subclavian Vein, Open Approach
17893 05N53ZZ 1 Release Right Subclavian Vein, Percutaneous Approach         Release Right Subclavian Vein, Percutaneous Approach
17894 05N54ZZ 1 Release Right Subclavian Vein, Perc Endo Approach            Release Right Subclavian Vein, Percutaneous Endoscopic Approach
17895 05N60ZZ 1 Release Left Subclavian Vein, Open Approach                  Release Left Subclavian Vein, Open Approach
17896 05N63ZZ 1 Release Left Subclavian Vein, Percutaneous Approach          Release Left Subclavian Vein, Percutaneous Approach
17897 05N64ZZ 1 Release Left Subclavian Vein, Perc Endo Approach             Release Left Subclavian Vein, Percutaneous Endoscopic Approach
17898 05N70ZZ 1 Release Right Axillary Vein, Open Approach                   Release Right Axillary Vein, Open Approach
17899 05N73ZZ 1 Release Right Axillary Vein, Percutaneous Approach           Release Right Axillary Vein, Percutaneous Approach
17900 05N74ZZ 1 Release Right Axillary Vein, Perc Endo Approach              Release Right Axillary Vein, Percutaneous Endoscopic Approach
17901 05N80ZZ 1 Release Left Axillary Vein, Open Approach                    Release Left Axillary Vein, Open Approach
17902 05N83ZZ 1 Release Left Axillary Vein, Percutaneous Approach            Release Left Axillary Vein, Percutaneous Approach
17903 05N84ZZ 1 Release Left Axillary Vein, Percutaneous Endoscopic Approach Release Left Axillary Vein, Percutaneous Endoscopic Approach
17904 05N90ZZ 1 Release Right Brachial Vein, Open Approach                   Release Right Brachial Vein, Open Approach
17905 05N93ZZ 1 Release Right Brachial Vein, Percutaneous Approach           Release Right Brachial Vein, Percutaneous Approach
17906 05N94ZZ 1 Release Right Brachial Vein, Perc Endo Approach              Release Right Brachial Vein, Percutaneous Endoscopic Approach
17907 05NA0ZZ 1 Release Left Brachial Vein, Open Approach                    Release Left Brachial Vein, Open Approach
17908 05NA3ZZ 1 Release Left Brachial Vein, Percutaneous Approach            Release Left Brachial Vein, Percutaneous Approach
17909 05NA4ZZ 1 Release Left Brachial Vein, Percutaneous Endoscopic Approach Release Left Brachial Vein, Percutaneous Endoscopic Approach
17910 05NB0ZZ 1 Release Right Basilic Vein, Open Approach                    Release Right Basilic Vein, Open Approach
17911 05NB3ZZ 1 Release Right Basilic Vein, Percutaneous Approach            Release Right Basilic Vein, Percutaneous Approach
17912 05NB4ZZ 1 Release Right Basilic Vein, Percutaneous Endoscopic Approach Release Right Basilic Vein, Percutaneous Endoscopic Approach
17913 05NC0ZZ 1 Release Left Basilic Vein, Open Approach                     Release Left Basilic Vein, Open Approach
17914 05NC3ZZ 1 Release Left Basilic Vein, Percutaneous Approach             Release Left Basilic Vein, Percutaneous Approach
17915 05NC4ZZ 1 Release Left Basilic Vein, Percutaneous Endoscopic Approach  Release Left Basilic Vein, Percutaneous Endoscopic Approach
17916 05ND0ZZ 1 Release Right Cephalic Vein, Open Approach                   Release Right Cephalic Vein, Open Approach
17917 05ND3ZZ 1 Release Right Cephalic Vein, Percutaneous Approach           Release Right Cephalic Vein, Percutaneous Approach
17918 05ND4ZZ 1 Release Right Cephalic Vein, Perc Endo Approach              Release Right Cephalic Vein, Percutaneous Endoscopic Approach
17919 05NF0ZZ 1 Release Left Cephalic Vein, Open Approach                    Release Left Cephalic Vein, Open Approach
17920 05NF3ZZ 1 Release Left Cephalic Vein, Percutaneous Approach            Release Left Cephalic Vein, Percutaneous Approach
17921 05NF4ZZ 1 Release Left Cephalic Vein, Percutaneous Endoscopic Approach Release Left Cephalic Vein, Percutaneous Endoscopic Approach
17922 05NG0ZZ 1 Release Right Hand Vein, Open Approach                       Release Right Hand Vein, Open Approach
17923 05NG3ZZ 1 Release Right Hand Vein, Percutaneous Approach               Release Right Hand Vein, Percutaneous Approach
17924 05NG4ZZ 1 Release Right Hand Vein, Percutaneous Endoscopic Approach    Release Right Hand Vein, Percutaneous Endoscopic Approach
17925 05NH0ZZ 1 Release Left Hand Vein, Open Approach                        Release Left Hand Vein, Open Approach
17926 05NH3ZZ 1 Release Left Hand Vein, Percutaneous Approach                Release Left Hand Vein, Percutaneous Approach
17927 05NH4ZZ 1 Release Left Hand Vein, Percutaneous Endoscopic Approach     Release Left Hand Vein, Percutaneous Endoscopic Approach
17928 05NL0ZZ 1 Release Intracranial Vein, Open Approach                     Release Intracranial Vein, Open Approach
17929 05NL3ZZ 1 Release Intracranial Vein, Percutaneous Approach             Release Intracranial Vein, Percutaneous Approach
17930 05NL4ZZ 1 Release Intracranial Vein, Percutaneous Endoscopic Approach  Release Intracranial Vein, Percutaneous Endoscopic Approach
17931 05NM0ZZ 1 Release Right Internal Jugular Vein, Open Approach           Release Right Internal Jugular Vein, Open Approach
17932 05NM3ZZ 1 Release Right Internal Jugular Vein, Percutaneous Approach   Release Right Internal Jugular Vein, Percutaneous Approach
17933 05NM4ZZ 1 Release Right Internal Jugular Vein, Perc Endo Approach      Release Right Internal Jugular Vein, Percutaneous Endoscopic Approach
17934 05NN0ZZ 1 Release Left Internal Jugular Vein, Open Approach            Release Left Internal Jugular Vein, Open Approach
17935 05NN3ZZ 1 Release Left Internal Jugular Vein, Percutaneous Approach    Release Left Internal Jugular Vein, Percutaneous Approach
17936 05NN4ZZ 1 Release Left Internal Jugular Vein, Perc Endo Approach       Release Left Internal Jugular Vein, Percutaneous Endoscopic Approach
17937 05NP0ZZ 1 Release Right External Jugular Vein, Open Approach           Release Right External Jugular Vein, Open Approach
17938 05NP3ZZ 1 Release Right External Jugular Vein, Percutaneous Approach   Release Right External Jugular Vein, Percutaneous Approach
17939 05NP4ZZ 1 Release Right External Jugular Vein, Perc Endo Approach      Release Right External Jugular Vein, Percutaneous Endoscopic Approach
17940 05NQ0ZZ 1 Release Left External Jugular Vein, Open Approach            Release Left External Jugular Vein, Open Approach
17941 05NQ3ZZ 1 Release Left External Jugular Vein, Percutaneous Approach    Release Left External Jugular Vein, Percutaneous Approach
17942 05NQ4ZZ 1 Release Left External Jugular Vein, Perc Endo Approach       Release Left External Jugular Vein, Percutaneous Endoscopic Approach
17943 05NR0ZZ 1 Release Right Vertebral Vein, Open Approach                  Release Right Vertebral Vein, Open Approach
17944 05NR3ZZ 1 Release Right Vertebral Vein, Percutaneous Approach          Release Right Vertebral Vein, Percutaneous Approach
17945 05NR4ZZ 1 Release Right Vertebral Vein, Perc Endo Approach             Release Right Vertebral Vein, Percutaneous Endoscopic Approach
17946 05NS0ZZ 1 Release Left Vertebral Vein, Open Approach                   Release Left Vertebral Vein, Open Approach
17947 05NS3ZZ 1 Release Left Vertebral Vein, Percutaneous Approach           Release Left Vertebral Vein, Percutaneous Approach
17948 05NS4ZZ 1 Release Left Vertebral Vein, Perc Endo Approach              Release Left Vertebral Vein, Percutaneous Endoscopic Approach
17949 05NT0ZZ 1 Release Right Face Vein, Open Approach                       Release Right Face Vein, Open Approach
17950 05NT3ZZ 1 Release Right Face Vein, Percutaneous Approach               Release Right Face Vein, Percutaneous Approach
17951 05NT4ZZ 1 Release Right Face Vein, Percutaneous Endoscopic Approach    Release Right Face Vein, Percutaneous Endoscopic Approach
17952 05NV0ZZ 1 Release Left Face Vein, Open Approach                        Release Left Face Vein, Open Approach
17953 05NV3ZZ 1 Release Left Face Vein, Percutaneous Approach                Release Left Face Vein, Percutaneous Approach
17954 05NV4ZZ 1 Release Left Face Vein, Percutaneous Endoscopic Approach     Release Left Face Vein, Percutaneous Endoscopic Approach
17955 05NY0ZZ 1 Release Upper Vein, Open Approach                            Release Upper Vein, Open Approach
17956 05NY3ZZ 1 Release Upper Vein, Percutaneous Approach                    Release Upper Vein, Percutaneous Approach
17957 05NY4ZZ 1 Release Upper Vein, Percutaneous Endoscopic Approach         Release Upper Vein, Percutaneous Endoscopic Approach
17958 05P     0 Upper Veins, Removal                                         Upper Veins, Removal
17959 05P002Z 1 Removal of Monitoring Device from Azygos Vein, Open Approach Removal of Monitoring Device from Azygos Vein, Open Approach
17960 05P00MZ 1 Removal of Neuro Lead from Azygos Vein, Open Approach        Removal of Neurostimulator Lead from Azygos Vein, Open Approach
17961 05P032Z 1 Removal of Monitoring Device from Azygos Vein, Perc Approach Removal of Monitoring Device from Azygos Vein, Percutaneous Approach
17962 05P03MZ 1 Removal of Neuro Lead from Azygos Vein, Perc Approach        Removal of Neurostimulator Lead from Azygos Vein, Percutaneous Approach
17963 05P042Z 1 Removal of Monitor Dev from Azygos Vein, Perc Endo Approach  Removal of Monitoring Device from Azygos Vein, Percutaneous Endoscopic Approach
17964 05P04MZ 1 Removal of Neuro Lead from Azygos Vein, Perc Endo Approach   Removal of Neurostimulator Lead from Azygos Vein, Percutaneous Endoscopic Approach
17965 05P0X2Z 1 Removal of Monitor Dev from Azygos Vein, Extern Approach     Removal of Monitoring Device from Azygos Vein, External Approach
17966 05P0XMZ 1 Removal of Neuro Lead from Azygos Vein, Extern Approach      Removal of Neurostimulator Lead from Azygos Vein, External Approach
17967 05P30MZ 1 Removal of Neuro Lead from R Innom Vein, Open Approach       Removal of Neurostimulator Lead from Right Innominate Vein, Open Approach
17968 05P33MZ 1 Removal of Neuro Lead from R Innom Vein, Perc Approach       Removal of Neurostimulator Lead from Right Innominate Vein, Percutaneous Approach
17969 05P34MZ 1 Removal of Neuro Lead from R Innom Vein, Perc Endo Approach  Removal of Neurostimulator Lead from Right Innominate Vein, Percutaneous Endoscopic Approach
17970 05P3XMZ 1 Removal of Neuro Lead from R Innom Vein, Extern Approach     Removal of Neurostimulator Lead from Right Innominate Vein, External Approach
17971 05P40MZ 1 Removal of Neuro Lead from L Innom Vein, Open Approach       Removal of Neurostimulator Lead from Left Innominate Vein, Open Approach
17972 05P43MZ 1 Removal of Neuro Lead from L Innom Vein, Perc Approach       Removal of Neurostimulator Lead from Left Innominate Vein, Percutaneous Approach
17973 05P44MZ 1 Removal of Neuro Lead from L Innom Vein, Perc Endo Approach  Removal of Neurostimulator Lead from Left Innominate Vein, Percutaneous Endoscopic Approach
17974 05P4XMZ 1 Removal of Neuro Lead from L Innom Vein, Extern Approach     Removal of Neurostimulator Lead from Left Innominate Vein, External Approach
17975 05PY00Z 1 Removal of Drainage Device from Upper Vein, Open Approach    Removal of Drainage Device from Upper Vein, Open Approach
17976 05PY02Z 1 Removal of Monitoring Device from Upper Vein, Open Approach  Removal of Monitoring Device from Upper Vein, Open Approach
17977 05PY03Z 1 Removal of Infusion Device from Upper Vein, Open Approach    Removal of Infusion Device from Upper Vein, Open Approach
